participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.password_to_start,player.major,player.gender,player.grade,player.personal_versus_group,player.change,player.adjustment_positive,player.adjustment_negative,player.adjustment_unaffected,player.patterns,player.patterns_explained,player.reason_own,player.reason_group,player.reason_conditional,player.reason_experiment,player.reason_adjust,player.reason_future_rounds,player.decision_style_facts,player.decision_style_feelings,player.decision_style_religious,player.decision_style_family,player.clarity,player.suggestions,player.start_time,player.time_spent_survey_one,player.time_spent_survey_one_point_five,player.time_spent_survey_two,player.time_spent_survey_three,player.time_spent_survey_four,player.time_spent_survey_five,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,64g9jzj5,P12,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:16.421903,1,,,0.0,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
2,qx4cw72u,P16,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:31.924265,1,,,0.0,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
3,b4hfgx6d,P11,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:33.288263,1,,,0.0,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
4,arwm0p2d,P1,0,1,96,pgg_additive_random_instrucs,Instructions,2024-02-27 18:05:35.179999,1,,,0.0,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
5,0uqkkrxj,P2,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:35.614153,1,,,0.0,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
6,325xrxge,P13,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:36.157975,1,,,0.0,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
7,o7ig8x83,P6,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:36.934162,1,,,0.0,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
8,gmzapysw,P4,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:38.691550,1,,,0.0,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
9,9ya8qp8x,P3,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:40.396465,1,,,0.0,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
10,ikkala1f,P15,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:43.152967,1,,,0.0,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
11,uytv2u3y,P8,0,1,96,pgg_additive_random_instrucs,Instructions,2024-02-27 18:05:48.291392,1,,,0.0,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
12,m9lbeptg,P9,0,3,96,pgg_additive_random_instrucs,Results,2024-02-27 18:05:51.544209,1,,,0.0,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
13,osxvxukb,P7,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:53.410769,1,,,0.0,13,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
14,1h02d8c8,P14,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:05:55.911537,1,,,0.0,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
15,bxj0h1l7,P5,0,4,96,pgg_additive_random_instrucs,ResultsWaitPage,2024-02-27 18:06:00.071424,1,,,0.0,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
16,timfpskc,,0,0,96,,,,0,,,0.0,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,oneb7wj3,,,,,0
1,z6zvu5y9,P1,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:28.972381,1,,,18.0,1,,0.0,Questionnaire,1,2,5,"When investing in the joint account, the earnings depends upon all the group members. I have randomly chosen different amount in each period.","It is unpredictable, because in each period it is different. And also, the computer is adding +5 or -5. so, it's unpredictable.",5,5,3,2,NO,1,1,2,1,3,5,1,1,3,2,1,It was a great experience.,1709059869.5776582,282.71727776527405,46.23575496673584,18.470102787017822,51.11230397224426,35.240413427352905,22.0113205909729,1,1,62k7oqv7,,,,,0
2,tltzhnno,P2,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:39.831956,1,,,18.0,2,,0.0,Questionnaire,1,2,5,"If others invest less in the group we loose money, they gain",I was keen on investing less than 5 tokens as it would guarantee me a minimum,2,1,5,2,No,2,3,2,2,3,2,2,3,4,2,2,N/A,1709059612.5976722,86.48241853713989,23.725831508636475,8.41344928741455,41.332438707351685,27.632687091827393,17.151196002960205,1,1,62k7oqv7,,,,,0
3,q6zhihya,P3,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:44.365161,1,,,16.0,3,,0.0,Questionnaire,1,1,5,The more I invest the more I get,investing above 5 and below 5,2,1,3,1,"sometimes If i invest less , my earning were boom and sometimes the other way",1,2,1,2,2,1,1,2,4,1,1,Realy great,1709059565.0087042,54.744946002960205,13.322626829147339,34.55855941772461,21.6905415058136,15.495426654815674,11.191618204116821,1,1,62k7oqv7,,,,,0
4,u9zm906p,P7,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:45.303605,1,,,19.0,4,,0.0,Questionnaire,1,1,5,The formula and the weightable of the group value,The formula and the weightable of the group value,3,1,3,1,"I feel like there was a pattern, if a -5 comes another -5 will follow it",3,3,3,3,3,3,1,3,4,2,2,It's a quick and intuitive experiement,1709059507.985503,39.01552200317383,15.608458042144775,30.553229570388794,18.45748996734619,13.955324172973633,20.594077825546265,1,1,62k7oqv7,,,,,0
5,hq64a48z,P6,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:48.950518,1,,,16.0,5,,0.0,Questionnaire,1,1,5,"I had mostly invested in group account because if the group investment is high, the returns are also higher as compared to personal account.","If the group investment pattern is higher, then my investment also increased with the group.",1,3,2,1,Alternate adjustments of +5 and -5,1,1,1,2,1,1,1,3,3,2,1,More larger groups and more investment questions will help in better understanding the investment patterns and will be helpful for this research. ,1709059670.965419,107.8081648349762,12.787943363189697,20.626545429229736,29.87393045425415,24.564367532730103,61.745079040527344,1,1,62k7oqv7,,,,,0
6,im4x5o2w,P9,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:17:57.113859,1,,,14.0,6,,0.0,Questionnaire,1,1,5,"I invested more in group account hoping that if others invest more, it would be a win-win outcome.","As the game progressed I split my investments equally between the accounts seeing how others were changing their strategy for joint investment by investing less, whereas I was investing more.",3,3,1,2,NO,3,1,2,3,1,5,2,2,3,1,1,None,1709059764.9014707,218.28760862350464,30.704047441482544,29.630261182785034,35.375242471694946,23.1076762676239,12.323303937911987,1,1,62k7oqv7,,,,,0
7,mwrun8gi,P5,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:18:04.394028,1,,,13.0,7,,0.0,Questionnaire,1,1,5,If I invest more everyone will earn more,I just wanted to know what others people are thinking and are they changing if I change like that,1,2,3,2,No pattern,1,1,1,1,1,1,1,2,4,2,1,"It's good, thanks for the experiment.",1709059570.7760909,69.70814299583435,16.17939853668213,14.262415885925293,25.417587757110596,20.055241346359253,32.46188521385193,1,1,62k7oqv7,,,,,0
8,xdbmchmc,P14,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:18:15.505565,1,,,18.0,8,,0.0,Questionnaire,1,1,5,"I had to gain my team-members trust, so I initially invested 10 and then to maximize my profits, invested 0 in the last few rounds",I invested 10 for the most part as 10 from everybody would maximize the profits as shown in the example,3,3,1,2,No PATTERN,2,3,2,3,3,5,3,2,4,2,1,None,1709059616.1810262,117.96632242202759,28.841973781585693,27.797863245010376,43.688010692596436,23.268916845321655,17.91456437110901,1,1,62k7oqv7,,,,,0
9,lu9bmylx,P16,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:18:21.391998,1,,,18.0,9,,0.0,Questionnaire,1,2,5,initially i invested more and found out my returns were less,later i invested less which turned out as i got more earnings,5,5,5,2,i did not notice any patterns in the computer adjustments,5,5,5,5,5,5,1,1,1,1,1,i spent a valuble time with this expirement which gave me good insights,1709059606.410251,76.00791668891907,13.03598165512085,28.798990964889526,9.628826141357422,10.695111751556396,35.708173751831055,1,1,62k7oqv7,,,,,0
10,6ofx6ebx,P10,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:19:03.933675,1,,,18.0,10,,0.0,Questionnaire,1,2,5,the lower you invest in the join the more profit since we will be getting the personal and as well as the joint savings,i fixed a scale and i follwed it.didnt change the values range much .,2,2,1,2,no,1,2,3,3,1,1,1,1,1,1,1,the experiment was good,1709059669.55635,97.17242646217346,26.691629886627197,10.995781898498535,42.757498025894165,9.19006061553955,54.61784625053406,1,1,62k7oqv7,,,,,0
11,cqzqkvar,P15,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:19:20.920887,1,,,14.0,11,,0.0,Questionnaire,1,2,5,"From the instructions and from the possible predictions from what the people from my group may put the number ,so as to earn more tokens.",I want to try out different possibilities and also the computer random choices!,5,3,1,2,No pattern,5,2,2,1,5,5,1,2,4,2,1,Thank you. This was amazing.  I hope the survey I answers I provided be useful to your research.,1709059926.0267158,200.17707109451294,58.535348415374756,22.57794165611267,57.9508798122406,56.688925981521606,70.50850105285645,1,1,62k7oqv7,,,,,0
12,jpg41nfb,P13,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:19:47.503455,1,,,15.0,12,,0.0,Questionnaire,1,1,5,"The greater the total, the greater the joint earning. I set my baseline at 5 and started with the highest amount possible.","After the first two rounds I noticed the average being invested is low, so I lost the motivation to maintain my baseline.",4,4,1,2,No pattern. I did try to observe any pattern adjustments.,2,2,5,2,2,5,2,1,4,1,1,The experiment in my experience is very fast paced. But I enjoyed making decisions.,1709059983.1246424,324.81874227523804,39.06714987754822,79.7176923751831,65.74363422393799,19.256664991378784,57.9735164642334,1,1,62k7oqv7,,,,,0
13,9tylgozx,P12,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:07.091618,1,,,18.0,13,,0.0,Questionnaire,1,1,5,the possibility of earning more.,My earnings made me change the investment account.,2,2,2,2,No pattern,1,5,5,2,4,2,1,2,1,1,1,Good,1709059589.3288395,72.23309397697449,21.607955932617188,15.134498834609985,59.781712770462036,26.68364405632019,13.690234661102295,1,1,62k7oqv7,,,,,0
14,cig3y4ax,P4,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:23.408774,1,,,14.0,14,,0.0,Questionnaire,1,2,5,"ACCORDING TO THE GIVEN INSTRUCTIONS READ, I FELT LIKE INVESTING MORE IN THE GROUP THAN THE PERSONAL",IT WAS DEPENDING ON TNE OTHER PEOPLE AS WELL. AS STATED IT WAS A GROUP OF 4 ,2,5,2,2,No pattern,5,2,2,5,5,5,2,3,2,2,2,It was great,1709059651.6656375,128.2297968864441,15.063246488571167,24.250725984573364,25.12164545059204,25.99119234085083,19.1143581867218,1,1,62k7oqv7,,,,,0
15,g3j95yy1,P8,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:30.290104,1,,,14.0,15,,0.0,Questionnaire,1,2,5,It was trial and error initially but later the earnings increased based on the investment.,It was trial and error initially but later the earnings increased based on the investment.,2,3,3,2,No,2,2,3,1,1,1,2,2,3,3,2,It was good.,1709059647.880358,76.06744956970215,29.240156412124634,14.555603981018066,60.51547574996948,27.685367822647095,21.375495195388794,1,1,62k7oqv7,,,,,0
16,pame0x3w,P11,0,96,96,survey_additive_ambiguous,EndPage,2024-02-27 18:20:55.190443,1,,,13.0,16,,0.0,Questionnaire,1,1,5,"As a trader, I'm bound to manage the risk ratio of my portfolio. I took the risk accordingly.",Investing collectively might lead to loss at certain times. I personally look to invest alone rather than in a group to avoid any problems during loss periods.,1,2,5,1,As per my observations computer was alternatively giving +/- 5 every 2 rounds.,1,1,2,2,2,1,1,1,2,1,1,Overall it wAS A GREAT EXPERIENCE.,1709059734.9619248,158.38306045532227,21.750229120254517,64.8811867237091,26.17254900932312,22.248222589492798,25.627268075942993,1,1,62k7oqv7,,,,,0
